# s_error_dp, s_error_pinn
3.410564490553946032e-04,1.951234479837599600e-04
6.220744980008573698e-04,1.600710347281203557e-04
8.503855460277705757e-04,2.850125974991689175e-04
5.961789971087133556e-04,4.532399088452983651e-04
7.335642351538159333e-04,3.920693958042102516e-04
1.262773640619771227e-04,4.723378407661864091e-04
1.046229892416033623e-04,7.162561937108491948e-04
2.886327155334967491e-04,5.847678885113763783e-04
9.681311891259707482e-04,6.331851994964221792e-04
1.377456469266480485e-03,6.430964156445736742e-04
2.775846744507450806e-04,7.206605461511829012e-04
1.024720559554478396e-04,8.302911159660992819e-04
8.391131603979745798e-05,8.884847332292995824e-04
2.019914711127163815e-04,9.447442163498162831e-04
1.332579429520972523e-04,9.485983936575673051e-04
7.971661432564511665e-05,9.584066320604504993e-04
1.821188404925045811e-04,9.668795414794100537e-04
6.379480409353575866e-04,9.976484976779028627e-04
6.212925937488746790e-04,1.074619630698331633e-03
6.107946970902825316e-04,1.249563479427256334e-03
8.349507527497854577e-04,1.357885218659719319e-03
1.335220814823615725e-03,1.192839482007658405e-03
1.136764497219049314e-03,1.355491480601404494e-03
8.786394871220926236e-04,1.333982570463407465e-03
6.355111707646855486e-04,1.258867693502225583e-03
1.791641825390815550e-04,1.168815239301615981e-03
2.378888273381236658e-04,1.247058926351803966e-03
1.392925525914156398e-04,1.260915568237885821e-03
2.020977552671287722e-04,1.274164241124211465e-03
3.536787300179070840e-04,1.406806462106166295e-03
6.648774140618284685e-04,1.410250931141444593e-03
1.289817848272295031e-03,1.381689644409524187e-03
1.023781242542834858e-03,1.404405344361546936e-03
1.403909479279377259e-04,1.324740813561884559e-03
3.155934329943255873e-04,1.321872013863588640e-03
9.941481379081419743e-04,1.325439195864156578e-03
9.436085767454337149e-04,1.326721257700215874e-03
9.431495971400195117e-04,1.348389362997871530e-03
4.757463173717528288e-04,1.417073751624455848e-03
2.342270261405051985e-04,1.394015063096667182e-03
1.415821314587468972e-04,1.382973047893636554e-03
9.364981337638582707e-05,1.269902945141694996e-03
7.589060859779801077e-04,1.237623041219546201e-03
1.067362406340035272e-03,1.205219829750614566e-03
1.295015427157920418e-03,1.212009206036585148e-03
1.303104762985283485e-03,1.214193306657967378e-03
1.079537849329998030e-03,1.215162091380185853e-03
8.673691048687681791e-04,1.215114802493537111e-03
4.617048578832840065e-04,1.199827009047018441e-03
4.739512693939297062e-04,1.184947962738447337e-03
4.158206271089490928e-04,1.153385072338377303e-03
4.695408841202380738e-04,1.013467765687451911e-03
2.374794693373037972e-04,8.235267970508152032e-04
9.207691215076387417e-05,8.217620429836707376e-04
2.180894223408497438e-04,7.203405236294451201e-04
4.988956317599079100e-04,7.824100569569532445e-04
5.036742685499667315e-04,7.746080095368733332e-04
3.852593049773765156e-04,7.926384022224535007e-04
4.377167061481851136e-04,7.897906534881654486e-04
5.625984494668437178e-04,8.461902438493095879e-04
9.227530881374836460e-04,8.462966457544367563e-04
1.086992871493572569e-03,9.041419544578978241e-04
1.162100344834554036e-03,9.277326732049667214e-04
1.400580945618875315e-03,9.838173331663910715e-04
1.190688778404459889e-03,1.034922018400448451e-03
3.463948462232262345e-04,1.133595132963257420e-03
6.810601885418679242e-04,1.415505043552827639e-03
4.151256412254702576e-04,1.365153257780799771e-03
2.076452977762152066e-04,1.268294310213281817e-03
2.638894661625389702e-04,1.218306353470706210e-03
3.992164649919984994e-04,1.155932447713522429e-03
1.038074090973867920e-03,1.011121807801962065e-03
9.810299784395765544e-04,8.599675841922933914e-04
9.447234454697628174e-04,8.327218624251913996e-04
1.352803805837447847e-03,7.198275202868168084e-04
1.318520296682426781e-03,7.364121161006419950e-04
1.281525306874291541e-03,7.332311961926638814e-04
7.904735104292872488e-04,7.118475545468787302e-04
5.803049472061943583e-04,6.977894494261944851e-04
4.496977489480771003e-04,7.178162603691493364e-04
3.781007054373136276e-04,7.933506955124429525e-04
7.471326693271231739e-05,8.091422935424228986e-04
1.893077942208064399e-04,9.334611925704091760e-04
1.579477833196168230e-04,9.964546230280511580e-04
9.372454357136876936e-05,1.324574582292669831e-03
2.062901570007022933e-04,1.328889787822451572e-03
2.625126730574400325e-04,1.263109839704054226e-03
3.103170826846377321e-04,1.240956314218240927e-03
4.966254195939843368e-04,1.045915653592462830e-03
4.532348825043139339e-04,9.570200215366943524e-04
5.088544416976242130e-04,9.821224847295355765e-04
5.900597023409202141e-04,9.530702684833541275e-04
5.520119779784093397e-04,9.290494966180156333e-04
4.458745046557886413e-04,9.634397835619685265e-04
2.808417708808890064e-04,9.019574037613021676e-04
1.134138653714697069e-04,9.031294530517920650e-04
3.991870794246134366e-04,9.373276459543093079e-04
3.949283647793965868e-04,9.663719692346910356e-04
8.537654006628823565e-04,9.949251511016548623e-04
1.213424575606147221e-03,1.047186159179006211e-03
1.102833712693980549e-03,1.069060778149509604e-03
8.067042135817272756e-04,1.006270891370988387e-03
8.876736195876482602e-05,1.014377278152712569e-03
1.428034619298483977e-04,1.036413870145590482e-03
3.525084931905645802e-04,1.227789456492572439e-03
6.518597214223761233e-04,1.254825343831762318e-03
